"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.534053230E-1,1.937561035E-1,-1.208343506E-1,5.179595947E-1,5.660605177E-1
9.584407230E-1,2.054748535E-1,-1.053771973E-1,5.152893066E-1,5.646656875E-1
9.634456060E-1,2.363586426E-1,-6.491088867E-2,4.971771240E-1,5.543139219E-1
9.684810070E-1,2.784423828E-1,9.658813477E-3,4.790649414E-1,5.541901039E-1
9.734858890E-1,3.173217773E-1,1.065979004E-1,4.780120850E-1,5.835681418E-1
9.785212900E-1,3.418273926E-1,2.062072754E-1,5.003814697E-1,6.401164128E-1
9.835261730E-1,3.540649414E-1,2.924957275E-1,5.493774414E-1,7.160525864E-1
9.885615730E-1,3.551330566E-1,3.627929688E-1,6.196899414E-1,8.010954060E-1
9.935664560E-1,3.471527100E-1,4.251098633E-1,7.043762207E-1,8.929609511E-1
9.986018560E-1,3.290405273E-1,4.842376709E-1,7.981109619E-1,9.898155879E-1
1.003606739E0,2.965545654E-1,5.385742188E-1,8.934631348E-1,1.084565891E0
1.008642139E0,2.480773926E-1,5.848999023E-1,9.840087891E-1,1.171291418E0
1.013647022E0,1.873626709E-1,6.157989502E-1,1.063369751E0,1.243007781E0
1.018682423E0,1.213073730E-1,6.253814697E-1,1.125152588E0,1.292975563E0
1.023687305E0,5.686950684E-2,6.174011230E-1,1.169891357E0,1.324033261E0
1.028722706E0,-1.190185547E-3,6.024780273E-1,1.194931030E0,1.338223209E0
1.033727589E0,-5.178833008E-2,5.865020752E-1,1.195465088E0,1.332592770E0
1.038762989E0,-9.440612793E-2,5.779876709E-1,1.168823242E0,1.307337002E0
1.043767872E0,-1.279602051E-1,5.806427002E-1,1.130477905E0,1.277301865E0
1.048803272E0,-1.508636475E-1,5.934295654E-1,1.093200684E0,1.252998892E0
1.053808155E0,-1.631164551E-1,6.136627197E-1,1.067092896E0,1.241723061E0
1.058843555E0,-1.636505127E-1,6.355133057E-1,1.055908203E0,1.243221937E0
1.063848438E0,-1.524658203E-1,6.546783447E-1,1.061233521E0,1.256211028E0
1.068883839E0,-1.332855225E-1,6.642761230E-1,1.085739136E0,1.279787978E0
1.073888721E0,-1.125183105E-1,6.557464600E-1,1.125152588E0,1.307146563E0
1.078924122E0,-9.759521484E-2,6.232604980E-1,1.164566040E0,1.324459337E0
1.083929005E0,-9.333801270E-2,5.737152100E-1,1.192260742E0,1.326403711E0
1.088964405E0,-1.050567627E-1,5.087432861E-1,1.224227905E0,1.329883686E0
1.093969288E0,-1.322174072E-1,4.394989014E-1,1.274826050E0,1.354925158E0
1.099004688E0,-1.700439453E-1,4.000854492E-1,1.341934204E0,1.410592329E0
1.104009571E0,-2.126464844E-1,3.974151611E-1,1.416503906E0,1.486486009E0
1.109044971E0,-2.573852539E-1,4.176635742E-1,1.491607666E0,1.570217647E0
1.114049854E0,-2.967987061E-1,4.538726807E-1,1.562438965E0,1.653875872E0
1.119085255E0,-3.276977539E-1,4.938201904E-1,1.627426147E0,1.731981543E0
1.124090137E0,-3.516693115E-1,5.343017578E-1,1.686019897E0,1.803278339E0
1.129125538E0,-3.692474365E-1,5.753173828E-1,1.738754272E0,1.868314797E0
1.134130421E0,-3.804321289E-1,6.062164307E-1,1.779220581E0,1.917772886E0
1.139165821E0,-3.900146484E-1,6.136627197E-1,1.797332764E0,1.938839453E0
1.144170704E0,-4.006652832E-1,6.120758057E-1,1.805328369E0,1.947916831E0
1.149206104E0,-4.139862061E-1,6.237945557E-1,1.812789917E0,1.961303523E0
1.154210987E0,-4.283599854E-1,6.711883545E-1,1.820236206E0,1.986767709E0
1.159246387E0,-4.416809082E-1,7.462921143E-1,1.826629639E0,2.022031103E0
1.164281788E0,-4.550018311E-1,8.080749512E-1,1.826095581E0,2.048081264E0
1.169286671E0,-4.677734375E-1,8.288574219E-1,1.810653687E0,2.045552098E0
1.174322071E0,-4.810943604E-1,8.288574219E-1,1.779220581E0,2.020911251E0
1.179326954E0,-4.970703125E-1,8.128662109E-1,1.737686157E0,1.981762739E0
1.184362354E0,-5.135803223E-1,7.830505371E-1,1.690811157E0,1.932815372E0
1.189367237E0,-5.231781006E-1,7.494964600E-1,1.642868042E0,1.880020125E0
1.194402637E0,-5.237121582E-1,7.100677490E-1,1.597061157E0,1.824575286E0
1.199407520E0,-5.189056396E-1,6.616058350E-1,1.555526733E0,1.768233232E0
1.204442921E0,-5.125274658E-1,6.088714600E-1,1.518768311E0,1.714662077E0
1.209447803E0,-5.066680908E-1,5.668029785E-1,1.486282349E0,1.669435051E0
1.214483204E0,-5.045318604E-1,5.492248535E-1,1.462310791E0,1.641509423E0
1.219488087E0,-5.071868896E-1,5.699920654E-1,1.450592041E0,1.639007860E0
1.224523487E0,-5.183868408E-1,5.811767578E-1,1.452194214E0,1.647834754E0
1.229528370E0,-5.375518799E-1,5.705261230E-1,1.461242676E0,1.658219599E0
1.234563770E0,-5.679168701E-1,5.572052002E-1,1.466033936E0,1.668011603E0
1.239568653E0,-6.073303223E-1,5.513458252E-1,1.461776733E0,1.676193174E0
1.244604053E0,-6.526031494E-1,5.428314209E-1,1.447937012E0,1.678415447E0
1.249608936E0,-7.005462646E-1,5.236511230E-1,1.425033569E0,1.672033565E0
1.254644337E0,-7.484741211E-1,5.002136230E-1,1.393600464E0,1.659080900E0
1.259649219E0,-7.932128906E-1,4.751892090E-1,1.356842041E0,1.641953653E0
